Classificação,Time,PTS,J,V,E,D,GP,GC,SG,CA,CV,%
1,Flamengo,46,20,14,4,2,44,9,35,34,1,76
2,Palmeiras,42,19,13,3,3,27,15,12,46,2,73
3,Cruzeiro Saf,41,21,12,5,4,34,15,19,52,2,65
4,Bahia,36,19,10,6,3,27,17,10,45,2,63
5,Botafogo,32,19,9,5,5,26,12,14,39,1,56
6,Mirassol,32,19,8,8,3,30,19,11,51,2,56
7,São Paulo,32,21,8,8,5,26,22,4,64,5,50
8,Red Bull Bragantino,30,21,9,3,9,26,28,-2,58,4,47
9,Fluminense,27,19,8,3,8,25,28,-3,36,1,47
10,Ceará,26,20,7,5,8,19,19,0,49,1,43
11,Corinthians,25,21,6,7,8,22,27,-5,64,3,39
12,Atlético Mineiro Saf,24,19,6,6,7,20,23,-3,48,4,42
13,Internacional,24,20,6,6,8,23,28,-5,38,3,40
14,Grêmio,24,20,6,6,8,19,25,-6,60,3,40
15,Santos Fc,21,20,6,3,11,20,31,-11,50,3,35
16,Vasco da Gama Saf,19,20,5,4,11,27,29,-2,46,2,31
17,Vitória,19,21,3,10,8,18,32,-14,55,4,30
18,Juventude,18,20,5,3,12,18,41,-23,55,3,30
19,Fortaleza Ec Saf,15,20,3,6,11,19,32,-13,59,6,25
20,Sport,10,19,1,7,11,12,30,-18,48,0,17
